Employee ID	Red Eggs	Blue Eggs	Yellow Eggs	Green Eggs	Pink Eggs
17062296	103	377	79	354	457
65573419	185	318	381	313	298
24544651	139	334	136	364	201
14610366	352	115	234	309	159
98619651	142	192	11	153	269
20747454	341	84	36	50	298
22444434	204	134	204	270	110
14386016	56	432	225	196	43
22238914	365	139	376	283	53
51798334	176	141	328	113	414
53250521	56	233	316	252	41
91804946	269	80	297	234	285
65733785	190	448	412	277	390
51289076	291	212	426	47	372
17562523	156	187	263	172	145
20577427	137	358	332	120	470
21583001	27	134	299	327	178
94202052	53	175	341	287	191
58107076	388	20	353	271	297
56133625	65	377	366	157	72
54993916	239	344	300	170	402
60018541	112	342	362	125	227
65884071	242	94	99	139	167
21010448	43	208	109	209	363
53565500	231	377	324	168	425
76072751	365	169	181	28	30
89541046	422	314	192	194	334
39419210	359	461	338	248	10
94959199	440	300	245	422	407
17324226	52	180	278	357	296
54752571	386	299	145	290	456
21711118	375	306	363	246	426
39489425	260	21	430	42	412
89879506	260	191	451	338	169
58123856	91	315	176	53	430
30253635	217	393	66	265	174
23804715	168	252	211	313	65
41670636	146	403	299	79	167
65794851	71	405	386	470	138
66502392	421	103	451	352	19
66173524	460	311	88	47	28
49348014	93	396	266	205	348
32467499	320	316	323	301	242
87222715	356	454	290	346	42
37774502	87	304	306	337	165
22952437	15	429	200	288	395
93176060	271	467	466	139	175
10705838	416	191	164	154	385
65421821	67	284	469	138	192
72188334	152	464	218	188	122
58326452	331	373	239	87	375
11911208	422	235	77	223	466
48808982	434	357	315	289	297
73295438	169	81	279	314	39
93619150	390	84	135	352	31
21804067	258	133	32	467	293
43600116	56	189	237	208	149
58011912	156	404	378	83	31
78746648	371	259	56	246	19
18970917	20	298	216	152	242
25270739	11	205	114	148	424
76265795	345	368	306	298	315
10489893	433	418	383	287	467
36557626	116	449	92	253	190
35140384	312	110	236	69	189
90560525	346	373	399	315	292
43138817	85	308	358	404	184
35225880	215	444	210	218	372
37587884	327	241	294	83	316
61416803	427	329	27	92	108
16647196	200	43	256	189	108
62839032	215	185	325	377	377
66882232	272	73	203	419	353
76041628	369	355	453	453	206
54500383	14	251	386	447	464
97506867	165	431	177	429	56
46979205	252	148	448	283	277
31845884	155	257	377	179	118
46433028	246	13	133	413	380
88743981	215	246	119	411	388
81282989	41	468	40	377	56
83508113	438	449	170	55	19
60549899	177	98	148	316	101
27414056	126	294	34	401	68
31006659	236	467	72	56	31
91053135	105	93	272	162	185
85128979	171	361	331	182	25
67153737	142	110	103	401	393
67578136	411	285	378	276	302
36114866	334	274	369	293	190
11591268	65	98	348	30	48
80515308	287	258	65	173	174
55895466	99	54	412	319	88
77398794	408	191	300	293	32
50325631	144	155	377	444	407
35235589	140	430	335	283	82
77469841	419	266	146	220	350
81787703	463	317	388	155	309
74522335	39	180	293	447	79
64362223	123	466	425	135	328
67178772	379	296	248	52	343
22740430	84	428	344	460	80
11067871	366	29	407	159	149
56469927	202	282	41	419	65
51843552	201	220	420	17	171
51006639	263	262	165	186	377
56952767	35	295	119	297	434
38614552	147	67	253	69	360
43296283	285	308	462	375	56
69693192	68	138	398	184	80
91693584	173	59	258	309	416
78839641	322	355	194	342	126
38502778	467	31	117	103	243
65041054	257	73	161	136	339
34919407	92	265	201	302	404
61374468	385	247	353	457	12
17960554	365	248	453	120	46
88372938	64	129	188	470	423
74949092	81	28	232	244	92
29299686	190	276	293	46	63
83886996	351	164	237	135	243
29006022	190	294	261	366	357
60965387	186	274	401	392	284
33181418	86	67	64	460	107
49068654	288	111	383	469	86
26465665	137	179	161	136	183
85259830	304	132	337	270	210
86579916	397	151	102	355	363
11948094	300	455	251	82	462
38053324	261	339	90	60	354
61338203	84	24	271	118	332
46674743	86	355	73	226	200
10369643	448	470	303	407	50
77874719	188	232	344	71	135
57461160	55	212	114	419	288
29333090	399	79	348	12	312
32499759	352	204	222	144	171
98569433	178	462	218	118	128
89115348	124	364	395	100	155
99428370	256	139	173	392	107
45730883	384	375	465	451	148
88825697	18	141	138	335	192
56773587	225	462	24	256	23
96449399	460	355	78	281	370
12737805	435	260	408	39	157
20724442	120	101	124	461	326
72324950	376	459	346	394	407
92533947	403	322	221	131	28
51377557	442	266	359	94	74
81993798	393	195	435	383	442
90430718	452	107	69	189	155
95862955	111	47	106	267	216
58732750	406	462	41	393	117
48135565	193	169	99	210	118
64882517	124	85	241	139	152
56097825	278	350	389	411	308
75602155	334	422	192	424	458
32030798	147	116	312	420	454
99531954	321	132	336	222	238
33783469	127	107	470	331	111
76107642	150	18	50	368	75
93580337	368	427	333	466	227
87218737	288	323	124	340	412
44577045	430	45	450	68	142
93879354	98	239	311	358	72
47011950	431	204	460	382	186
66147207	277	18	309	296	27
10011720	239	120	102	403	195
59248090	127	77	242	129	355
51039976	50	267	90	335	318
13013117	446	195	231	205	332
27182904	87	243	143	41	321
42928202	156	465	14	237	305
21594237	353	166	251	344	154
85914883	404	67	387	159	398
11339357	256	376	244	89	10
85367019	430	227	20	11	178
74105717	340	198	344	224	325
21813426	415	121	188	215	47
88414418	111	222	167	298	264
32077968	32	211	44	36	459
79481571	340	355	449	218	111
12964358	298	410	328	245	103
39536964	371	219	381	443	139
29044587	122	149	47	315	175
89497418	134	426	246	67	262
69528996	233	46	106	175	409
21009515	52	68	57	371	218
24455903	389	246	167	228	447
40939759	54	294	125	437	158
50909759	454	28	378	10	421
31843937	328	136	411	146	97
15873074	110	363	392	30	39
40486253	191	187	161	278	151
54455564	152	253	376	42	123
96293958	261	149	299	234	79
47653145	287	337	67	27	290
97130999	468	84	150	62	96
63295913	198	41	33	153	162
34459064	169	22	74	393	339
38074461	122	331	168	438	68
21485256	158	157	245	170	324
56572261	242	112	268	57	438
57689403	455	464	72	206	465
14828415	93	381	261	344	230
73365374	287	405	258	235	460
44326638	244	401	304	210	379
86398865	137	456	464	403	454
14639254	337	298	25	136	15
85217725	371	279	66	315	435
47502943	433	298	162	121	61
67938524	394	123	124	338	451
30584092	311	363	44	91	206
17500941	315	400	423	146	167
94056293	173	421	361	330	54
18079904	223	331	407	212	155
31913988	154	108	357	31	337
61804659	323	395	17	42	60
44026913	163	295	338	323	452
32100890	349	328	388	320	79
65911793	74	242	298	122	99
40304838	71	397	187	246	367
80943662	371	230	61	135	131
13512988	408	39	240	141	364
83907321	401	219	153	61	260
48573103	242	451	444	55	468
22874314	306	362	88	324	74
64865151	366	384	102	191	282
92619158	69	401	284	178	66
74645295	421	426	68	246	337
28422213	411	59	443	332	452
87087163	74	225	338	339	447
82511790	64	33	403	376	165
70634427	430	189	103	136	350
77713751	220	152	378	277	289
19842602	349	99	203	103	40
33379433	249	294	313	118	379
42531988	45	362	453	330	449
88671872	174	183	77	364	260
55766170	246	144	269	69	226
35990315	31	436	409	135	193
98907617	107	205	299	16	164
24280042	344	189	219	458	126
41524526	25	377	163	311	356
55305965	461	407	366	437	135
15966885	112	321	297	275	221
64743296	127	428	197	245	447
82947193	234	267	168	121	108
19671756	459	96	61	239	73
18398552	246	143	198	354	282
51664884	141	249	40	352	430
52469214	278	389	401	56	210
90194944	59	149	439	109	373
19792710	245	469	14	379	157
69500052	36	347	111	174	322
85197661	120	61	208	366	72
19486706	84	392	35	47	328
51891924	147	204	71	395	29
35307490	343	434	288	177	299
75509507	410	334	171	326	108
79441231	275	440	164	181	426
79995248	95	97	204	85	456
48323601	336	354	19	133	95
72698562	319	316	268	245	189
66106780	318	314	182	71	468
17336368	264	469	79	320	336
25096925	58	82	177	170	435
27791138	414	227	403	44	89
81567988	228	341	280	299	456
84233926	148	383	107	319	142
82770615	125	325	71	144	62
71595100	405	362	159	188	245
35675081	287	156	293	36	431
95171328	154	320	326	196	11
54566399	174	411	438	337	145
53445361	244	57	327	297	444
19034664	154	405	125	182	256
41434659	120	191	145	139	299
96119539	55	280	255	20	113
82549632	460	268	335	101	89
13220116	93	97	200	209	96
87666701	12	130	301	192	108
19981196	331	186	328	463	128
69050817	145	176	24	47	400
98612324	89	15	453	205	354
44989325	294	391	103	307	142
69038925	420	35	248	415	13
39867134	432	106	418	109	329
93141197	65	165	49	403	466
29011398	319	274	80	270	128
85830427	38	276	145	114	360
86232046	188	467	453	375	72
68543793	191	250	55	108	105
45961960	85	56	347	27	200
73123154	250	63	147	279	131
20175418	439	426	47	181	260
70310411	454	134	190	111	389
47607813	317	78	287	469	171
31387410	274	403	206	199	264
43904318	104	44	284	246	212
68652955	267	390	83	373	141
44581354	181	26	378	217	67
92776375	55	243	157	373	335
13240682	378	147	237	10	10
56586966	311	462	109	28	85
88555913	79	144	347	12	458
95140598	457	323	316	244	257
76237801	466	134	410	371	133
32821677	79	434	61	85	267
59504243	59	298	266	221	254
36155367	401	318	11	38	412
36789474	451	311	435	126	129
85888516	139	404	208	307	111
11799892	153	384	47	181	348
99573974	56	24	273	432	61
16912501	440	450	76	314	32
21119193	202	340	398	328	381
29941637	78	212	453	243	391
77275459	30	361	23	117	197
70620537	98	315	148	81	244
16822031	45	337	361	254	104
65961268	372	254	311	34	253
71644621	118	171	329	336	26
78579238	239	136	23	230	142
70586999	396	30	440	163	448
20136291	38	196	53	130	45
64258062	389	284	172	180	55
10117329	454	77	156	218	162
35687660	95	165	461	343	38
89568737	48	22	50	127	137
67668170	356	440	126	345	423
96170196	232	365	352	434	63
13572772	30	291	12	141	367
92365749	246	367	426	422	172
90906517	85	284	107	117	149
21944068	73	337	362	15	254
69598338	84	248	25	208	93
91453867	420	124	374	326	453
85254401	206	215	429	457	327
60383838	21	412	433	106	112
79088102	208	66	137	292	298
57967314	357	302	375	179	396
88158068	334	174	158	182	231
32591005	53	55	21	158	11
77731757	423	147	431	339	22
83085716	117	247	260	110	88
10984039	194	164	297	258	112
37255882	271	22	448	239	340
42611718	273	271	82	84	331
44686940	269	192	311	291	401
21825231	226	187	394	138	338
42835161	29	114	287	215	273
37804393	138	96	135	165	158
13502732	284	371	204	285	164
24409565	455	211	282	332	94
20067207	364	20	296	128	436
79633271	219	228	245	12	25
31677446	287	331	102	129	102
46372244	207	196	361	231	445
14336989	429	322	129	281	52
38162810	129	276	234	415	244
15904875	348	430	210	266	138
92782845	197	110	137	342	80
53780575	141	168	209	314	387
77093486	283	129	278	388	120
73047475	115	174	308	416	259
88052813	354	315	311	324	33
17595887	84	373	145	439	274
49815899	289	390	208	203	222
55174902	70	250	470	344	100
38468152	354	461	176	387	43
22164170	155	205	47	298	445
62368811	380	27	247	116	20
48192091	173	371	53	438	157
13596195	127	321	100	98	373
81830656	158	60	360	307	312
71951384	464	411	13	453	145
11921888	306	286	358	157	211
32587499	259	31	464	115	458
61656097	157	125	171	413	360
49569102	380	448	456	267	124
86037008	23	308	265	414	82
57553434	142	161	327	405	49
58649488	470	19	353	44	233
27794757	376	339	470	370	429
92305988	429	264	59	298	269
31060122	411	27	238	459	273
97856584	385	110	281	285	35
67898041	44	250	70	406	179
75117774	300	61	13	194	117
42796268	184	161	51	446	151
18866204	469	233	59	171	135
12922237	208	357	258	144	463
92342572	438	61	73	401	103
92918324	342	399	103	450	10
25066619	256	119	284	450	405
68024910	116	190	313	220	345
37688027	69	443	135	407	139
65258542	167	400	364	38	92
85208045	73	183	462	157	282
23436354	117	299	307	62	143
52193811	217	368	311	409	258
90054628	24	400	39	120	136
50331588	268	263	467	354	128
38364326	14	342	357	291	332
80036684	236	139	45	50	364
41148289	348	408	66	197	307
39523647	136	324	43	58	31
64232029	68	323	202	94	362
40665550	259	83	59	386	370
48651410	346	382	456	358	234
54563421	292	363	394	226	146
14805859	159	253	121	80	142
56624577	367	207	249	252	265
87395003	354	82	330	32	250
32090266	25	443	245	377	202
22703937	297	416	206	141	306
49300185	331	337	336	273	261
67757115	87	21	451	193	371
28182456	30	25	271	323	425
90350907	359	201	418	437	410
40516238	284	226	22	438	10
25011584	217	352	114	162	391
19176139	145	325	363	93	227
65857201	274	452	38	91	297
28779260	445	359	136	419	71
65920685	287	458	54	355	107
97380818	189	83	86	48	343
84121789	242	253	170	193	222
35068810	435	421	464	43	410
91819528	267	29	84	51	166
45501410	198	61	139	181	56
68078890	370	403	345	367	113
16541167	14	443	312	147	341
64148580	48	284	150	276	404
77318517	73	86	92	309	244
94432027	437	51	145	270	230
37551671	379	113	424	424	158
78472363	173	395	327	413	102
50131401	38	270	173	314	106
99768603	168	78	80	212	379
79080694	278	289	420	66	17
29004338	372	198	146	77	177
89798131	370	165	433	310	265
39184143	139	68	259	16	64
52273962	233	411	314	169	355
80300630	309	468	397	406	145
41607728	430	70	51	246	114
15951174	33	77	274	156	110
62771749	348	320	72	315	170
25419129	398	370	343	264	252
45046253	47	466	375	338	110
36980863	187	308	146	136	255
91031365	117	464	18	172	126
34203737	104	149	14	193	216
66936369	217	419	223	31	14
37822636	20	189	320	10	322
54126971	182	232	344	75	101
57841077	340	261	207	397	123
32362047	232	10	94	192	322
18020720	116	261	362	254	164
76975401	389	102	372	135	88
45859076	223	120	145	269	139
51632652	66	435	130	222	213
54459000	406	315	81	313	153
70085478	438	241	432	240	210
67466661	300	143	225	318	459
51550153	218	108	374	179	409
35389849	404	284	26	251	436
12289791	142	400	212	260	55
93591174	261	93	80	339	250
93071696	105	468	392	375	258
30444366	252	82	323	116	429
83585271	441	110	76	140	47
86924265	117	397	58	446	40
72348301	190	364	300	317	290
59547803	128	44	59	169	265
63264191	395	236	137	247	153
40532455	26	222	192	260	316
44400720	346	386	187	262	176
85138389	380	64	132	434	57
69063941	454	278	207	315	104
15077264	153	90	314	54	118
55982370	305	233	377	397	400
31841985	48	362	439	104	437
21414679	176	329	460	61	461
91917204	264	223	289	64	391
60946731	335	467	232	342	460
87064846	142	91	122	230	381
50866736	170	214	171	28	277
61907722	425	117	391	357	242
18217119	148	318	408	293	105
80538017	370	26	77	300	105
95200822	206	19	144	91	215
61984777	87	138	199	438	439
43321753	104	215	22	111	114
85762999	408	179	456	301	104
13991096	24	150	158	117	364
17593097	250	238	138	282	266
94008068	291	362	469	148	317
83235252	122	202	328	14	175
49650014	56	311	326	276	223
61259994	157	178	327	356	296
58839439	417	469	463	282	298
21368902	130	94	258	101	55
67456317	23	437	181	326	318
95915627	122	17	243	250	58
64273547	185	76	464	30	345
22686702	74	468	357	168	235
45590039	374	428	88	328	197
83063616	454	337	57	333	117
20309165	84	456	62	91	345
30358651	356	39	250	102	75
21776350	382	119	241	384	73
60182501	465	353	82	192	397
10442747	300	183	426	42	404
42240932	207	94	216	166	175
77682592	42	235	164	229	328
82657977	70	70	420	426	37
53539811	166	323	202	106	68
51574884	139	110	156	443	437
96953620	431	324	169	271	390
18019557	277	287	78	108	260
31529607	458	178	333	44	243
12458400	328	180	73	134	152
77139456	190	101	324	66	88
68425066	46	379	80	297	373
10475608	432	182	383	88	311
38886066	318	71	236	255	106
95446096	55	190	392	354	128
51064319	161	240	364	419	117
24663089	290	203	43	27	272
97177767	97	72	187	138	405
27442582	458	461	140	87	321
30698806	412	386	469	258	40
49274571	258	282	294	419	127
24307609	228	241	238	33	292
47728525	342	381	311	277	350
80239017	295	227	412	145	266
92068477	402	451	116	127	143
53804748	407	321	17	208	384
79092074	448	137	400	31	348
98903339	415	330	399	397	126
76878399	148	325	20	181	217
97015695	242	17	175	449	269
62092680	132	160	194	126	467
18782871	159	209	248	333	351
38866501	143	423	212	178	200
70399037	129	136	418	95	269
21260562	428	210	78	401	126
75751269	318	107	344	421	360
68354334	151	165	86	362	132
59298615	225	428	34	91	284
54690824	305	75	24	298	215
51431676	106	371	201	50	452
61410313	463	76	254	298	239
54311288	76	335	174	257	176
58945665	39	65	392	180	152
46947429	420	15	137	291	78
52411745	466	298	457	31	456
20745571	278	108	206	41	107
19196179	452	269	54	63	377
15228068	11	185	180	406	98
63951579	143	280	432	376	460
92172983	162	64	60	410	443
30619709	118	128	33	186	109
23410635	215	73	136	335	82
94553024	429	324	172	59	432
53443143	314	418	141	214	361
62893788	389	12	265	40	199
16581115	209	241	364	68	288
91019316	12	363	33	235	232
